# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
4|50.58|107.8322|-38.2729|4458|AGC331060
55|73.79|110.9496|-28.0856|4779|UGC12898
70|117.49|107.1780|-40.9837|6800|UGC12900
76|97.72|109.8059|-32.6707|6920|UGC12901
124|81.66|99.5866|-57.0904|6350|UGC12913
143|0.96|75.8635|-73.6245|-108|WLM
145|134.28|25.5365|-79.0034|9723|ESO409-004
165|86.30|109.6981|-34.3974|7620|UGC12920
176|103.28|94.3256|-63.8349|6465|AGC400001
179|71.12|103.0012|-52.2368|5537|AGC100002
186|115.88|107.2408|-42.4978|7894|UGC00003
201|127.06|100.6048|-56.5458|8629|UGC00004
205|105.20|96.2231|-62.2521|7267|UGC00005
212|206.06|106.3213|-45.3440|11229|UGC00007
218|13.68|106.4096|-45.1747|1051|NGC07814
226|92.47|103.2027|-52.4005|11946|UGC00010
250|92.04|108.8693|-38.3606|7265|UGC00014
255|20.32|106.2143|-46.0988|878|UGC00017
259|109.14|106.5852|-45.1656|6412|AGC100020
265|118.58|320.6851|-64.6904|11900|PGC000265
279|29.24|108.2279|-40.7610|2311|NGC007817
280|108.64|320.0161|-64.1325|10499|ESO193-013
291|155.60|320.1115|-64.3012|11133|PGC000291
292|167.49|320.6757|-64.8254|11875|ESO193-014
296|106.66|104.5586|-50.3890|7977|UGC00023
298|48.08|108.8750|-38.9918|4452|UGC00024
301|78.70|102.3572|-54.8049|5091|UGC00025
303|42.07|111.3151|-30.3366|4974|UGC00026
305|44.46|102.2036|-55.1249|3121|UGC00027
354|105.68|103.0326|-54.1518|6154|UGC00034
366|94.62|103.0072|-54.3026|6301|UGC00036
367|100.46|75.4658|-74.9096|7426|NGC007821
382|162.93|320.6339|-65.2489|10379|ESO193-019
383|143.88|321.3046|-65.8367|10688|ESO193-018
393|142.56|116.0841|-8.6294|9523|UGC000039
415|103.75|110.6599|-34.3326|7532|UGC00040
