#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-15T06:51:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ548e7c4d7707	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/202&tab:{VII/202/catalog}&key:source=VII/202&HTTPPRM:&&-ref=VIZ548e7c4d7707&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/202/catalog
#-order=I
#-out=ID
#-out=Name
#-out=GLON
#-out=GLAT
#-out=Rsun
#-out=X
#-out=Y
#-out=Z
#-out=Vt
#

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;meta.main]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
ID|Name|GLON|GLAT|Rsun|X|Y|Z|Vt
 | |deg|deg|kpc|kpc|kpc|kpc|mag
---------|-----------|------|------|-----|-----|-----|-----|-----
NGC 104  |47 Tuc     |305.90|-44.89|  4.3|  1.8| -2.5| -3.0| 3.95
NGC 288  |           |152.28|-89.38|  8.1| -0.1|  0.0| -8.1| 8.09
NGC 362  |           |301.53|-46.25|  8.3|  3.0| -4.9| -6.0| 6.40
NGC 1261 |           |270.54|-52.13| 16.0|  0.1| -9.8|-12.6| 8.29
Pal 1    |           |130.07| 19.03|  9.7| -5.9|  7.0|  3.2|13.52
AM 1     |E 1        |258.36|-48.47|119.1|-15.9|-77.4|-89.2|15.72
Eridanus |           |218.11|-41.33| 80.8|-47.7|-37.4|-53.4|14.70
Pal 2    |           |170.53| -9.07| 26.9|-26.2|  4.4| -4.2|13.04
NGC 1851 |           |244.51|-35.04| 12.2| -4.3| -9.0| -7.0| 7.14
NGC 1904 |M 79       |227.23|-29.35| 12.6| -7.5| -8.1| -6.2| 7.73
NGC 2298 |           |245.63|-16.01| 10.6| -4.2| -9.3| -2.9| 9.29
NGC 2419 |           |180.37| 25.24| 82.3|-74.4| -0.5| 35.1|10.39
Pyxis    |           |261.32|  7.00| 38.5| -5.8|-37.8|  4.7|12.90
NGC 2808 |           |282.19|-11.25|  9.3|  1.9| -8.9| -1.8| 6.20
E 3      |           |292.27|-19.02|  4.2|  1.5| -3.7| -1.4|11.35
Pal 3    |           |240.14| 41.86| 89.4|-33.1|-57.7| 59.6|14.26
NGC 3201 |           |277.23|  8.64|  5.1|  0.6| -5.0|  0.8| 6.75
Pal 4    |           |202.31| 71.80| 99.6|-28.8|-11.8| 94.6|14.20
NGC 4147 |           |252.85| 77.19| 18.8| -1.2| -4.0| 18.3|10.32
NGC 4372 |           |300.99| -9.88|  4.9|  2.5| -4.2| -0.8| 7.24
Rup 106  |           |300.89| 11.67| 20.6| 10.4|-17.3|  4.2|10.90
NGC 4590 |M 68       |299.63| 36.05| 10.1|  4.0| -7.1|  5.9| 7.84
