#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-25T13:42:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ549c13b65cc2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_Glon,_Glat
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=Cluster
#-out=Dist
#WEBDA=WEBDA
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2014)
#Coosys	G:	galactic
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.4)
#Column	_Glon	(F7.3)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F7.3)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
_Glon|_Glat|Cluster|Dist
deg|deg| |pc
-------|-------|-----------------|-----
182.416| +0.247|Majaess 68       |
117.315| +3.137|FSR 0469         |
108.884|-24.933|Alessi 22        |
115.795| +1.245|FSR 0453         |
115.106| -1.426|Majaess 227      |
114.611| +0.219|Majaess 225      |
149.076| -1.970|Majaess 36       |
116.403| -6.195|Stock 19         |
179.919| +1.746|FSR 0828         |
118.290| +2.499|Majaess 1        |
192.139| -3.802|Majaess 69       |
216.203|-15.661|Majaess 70       |
113.003| -1.037|FSR 0436         |
111.611| +0.368|FSR 0426         |
306.742| -0.848|Ruprecht 166     |
182.034| -0.169|Majaess 65       |
184.898| +3.128|FSR 0856         |
108.216| +0.593|Majaess 215      |
146.265| +3.121|FSR 0647         |
119.205| +1.886|Majaess 8        |
299.692| +1.817|Collinder 257    |
186.524| +2.536|FSR 0869         |
150.609| -0.957|Majaess 41       |
119.548| +0.651|Majaess 9        |
150.853| -1.118|Majaess 42       |
205.319| -2.695|Majaess 79       |
150.681| -0.596|FSR 0665         |
206.265| -0.719|Majaess 82       |
184.829| -3.819|FSR 0855         |
088.719| -1.499|Majaess 211      |
093.094| +2.846|FSR 0302         |
223.494| -7.933|DC 1             |
103.998|+14.262|Collinder 427    |
216.638| +0.630|Ferrero 10       |
317.092| -4.204|Majaess 160      |
180.422| -2.139|Majaess 61       |
081.714| -0.596|FSR 0248         |
177.062| -0.412|FSR 0814         |
167.489|-17.983|Dolidze 14       |
081.629| +0.150|FSR 0246         |
085.409| +3.745|Majaess 209      |
081.703| +1.494|FSR 0247         |
297.749| +2.976|Stock 15         |
170.144| +3.487|FSR 0763         |
292.505|+13.393|ESO 217 08       |
232.462| -2.726|ESO 559 02       |
121.580| -1.244|FSR 0505         |
078.481| +1.150|Dolidze 10       |
080.522| +2.944|FSR 0239         |
232.312| -2.530|Majaess 86       |
074.779| -0.965|Majaess 207      |
224.414| +2.627|Wit 3            |
078.872| +2.756|Dolidze 6        |
075.707| +0.992|Dolidze 41       |
239.590| -4.899|Majaess 88       |
074.744| +0.550|Dolidze 4        |
295.206| -0.665|Loden 466        |
238.478| -4.179|Majaess 89       |
238.411| -4.114|Majaess 90       |
065.524| -3.962|Collinder 416    |
326.917| -1.084|Majaess 166      |
330.051| +0.898|Majaess 170      |
138.026| +1.500|Collinder 34     |
231.397| +1.130|Waterloo 8       |
172.740| -0.321|Majaess 58       |
123.910| -6.360|Majaess 19       |
249.986| -7.130|BH 4             |
123.672| +2.812|Majaess 20       |
227.831| +5.619|Collinder 467    |
291.327| +1.963|Loden 336        |
124.543| -0.807|NGC 358          |
288.955| +0.802|Majaess 135      |
351.583|+15.734|Collinder 302    |
248.215| -3.942|FSR 1343         |
173.578| -1.520|Dolidze 18       |
289.773| -1.229|Majaess 133      |
059.140| -0.113|Collinder 404    |
243.183| -0.606|AH03 J0748 26.9  |
038.650|-10.262|Collinder 401    |
242.076| +0.231|FSR 1308         |
136.220| +1.077|Majaess 30       |
150.391| +3.888|FSR 0662         |
341.418| -3.173|ESO 278 02       |
348.246| +0.483|FSR 1755         |
347.432| -0.618|Moffat 2         |
156.933| +0.967|FSR 0687         |
173.072| -2.485|Melotte 31       |
254.056| -0.095|Majaess 95       |
162.309| -2.333|Majaess 50       |
226.162|-37.144|ESO 485 20       |
259.599| -2.980|Majaess 99       |
138.373|+19.610|Collinder 464    |
259.332| -2.553|Majaess 101      |
355.984| -0.112|Dutra Bica 50    |
259.501| -2.572|Majaess 104      |
000.035| -8.855|Ruprecht 140     |
259.252| -2.105|FSR 1394         |
005.214| -5.537|ESO 522 16       |
157.033| +7.358|NGC 1790         |
128.777| +2.014|Majaess 26       |
002.201| +3.445|Dutra Bica 59    |
357.399| +0.001|Majaess 184      |
271.011| +1.415|Majaess 114      |
008.504| -0.984|Majaess 190      |
355.707| -7.300|NGC 6529         |
159.356| +2.578|FSR 0699         |
000.381| +0.961|Dutra Bica 18    |
170.460| -3.554|Dolidze 15       |
001.885| -2.441|Dutra Bica 32    |
001.083| -2.732|Dutra Bica 25    |
003.890| -1.031|Dutra Bica 49    |
254.089| +6.926|Collinder 198    |
266.329| -1.922|Ruprecht 70      |
130.089|+11.112|Majaess 29       |
002.717| -0.341|Dutra Bica 40    |
215.070|+31.925|Chupina 2        |
001.578| -0.388|Dutra Bica 31    |
216.147|+31.759|Chupina 3        |
000.584| -0.869|Dutra Bica 11    |
000.565| -0.855|Dutra Bica 10    |
000.589| -0.832|Dutra Bica 12    |
159.143| +3.277|FSR 0696         |
000.549| -0.814|Dutra Bica 7     |
215.159|+32.293|Chupina 4        |
215.837|+32.304|Chupina 5        |
355.677| -2.383|Collinder 345    |
000.315| -0.205|Dutra Bica 6     |
000.314| -0.193|Dutra Bica 5     |
162.166|-19.730|Alessi Teutsch 10|
109.867|+44.677|Collinder 285    |   25
