#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-09T05:26:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5486873a2e45	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-sort=_r
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&&-ref=VIZ5486873a2e45&-out.src=I/239/hip_main&Clear= Clear&-c.r=  2&-sort=_r&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&Vmag=<6&-out=RA(ICRS)&-out=DE(ICRS)&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&-out=HD&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.geom=r&-out.max=50&-out.form=HTML Table&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=Vmag
#Vmag=<6
#-out=Plx
#-out=HD
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Coosys	G:	galactic
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	_Glon	(F8.4)	Galactic longitude at Epoch=J1991.25, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F8.4)	Galactic latitude at Epoch=J1991.25, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	HD	(I6)	[1/359083]? HD number <III/135> (H71) [NULL integer written as an empty string]	[ucd=meta.id]
_Glon|_Glat|Vmag|Plx|HD
deg|deg|mag|mas|
--------|--------|-----|-------|------
323.7942|-66.2281| 5.71|   5.97|224834
321.9759|-64.8978| 5.53|   5.84|224865
306.5314|-39.7126| 4.78|  14.77|224889
116.9712| -1.0710| 5.58|   0.86|224893
 94.5931|-63.1364| 5.13|   7.98|224926
 91.5824|-65.8276| 4.37|   7.86|224935
109.6040|-34.5087| 5.80|  80.63|224930
 16.5507|-78.9029| 5.04|   6.40|224990
102.8089|-52.4635| 5.70|  26.53|225003
118.0063|  3.6954| 5.87|   1.57|225009
 72.1006|-75.2616| 4.55|  14.31|225132
117.4738| -0.0827| 5.90|   0.89|225180
 74.6974|-74.7912| 5.78|  11.29|225197
 87.0717|-70.0419| 4.99|   2.03|225212
308.1842|-45.2116| 5.59|   5.70|225253
118.4089|  4.7060| 5.68|  10.30|225216
117.3998| -1.0591| 5.80|   4.50|225289
 93.7541|-65.9329| 4.61|  25.38|    28
106.1862|-47.9827| 5.55|   8.75|    87
117.0339| -3.9167| 5.98|  49.30|   123
321.5904|-66.3861| 5.70|  39.00|   142
118.0586|  1.7510| 5.57|   3.32|   144
 55.5634|-79.0759| 5.93|  12.45|   319
355.9116|-78.6711| 5.67|  10.02|   344
 91.7935|-69.0454| 5.99|   9.79|   360
111.7319|-32.8429| 2.07|  33.60|   358
108.9910|-43.5090| 5.57|  11.17|   448
117.5269| -3.2772| 2.28|  59.89|   432
 25.2419|-80.6353| 5.42|  14.57|   493
324.3387|-69.5948| 3.88|  23.28|   496
106.8672|-50.4301| 5.54|  10.04|   560
304.6276|-34.7675| 5.29|  13.45|   636
 96.9922|-66.0272| 5.84|  18.18|   587
115.5247|-16.2073| 5.01|   3.24|   571
 87.6906|-72.6033| 5.84|  15.35|   645
 82.2291|-75.0646| 4.89|  52.94|   693
 26.2974|-81.1341| 5.41|   5.61|   720
347.1573|-78.3386| 5.24|  45.85|   739
 76.3211|-77.1005| 5.29|   5.33|   787
109.4338|-46.6845| 2.83|   9.79|   886
303.9085|-32.0618| 5.78|   4.00|  1032
115.2701|-21.2712| 5.71|  28.57|   905
 38.2701|-81.4930| 5.94|   3.22|   942
 96.8686|-68.7602| 5.13|   5.21|  1014
111.3035|-41.8318| 4.79|  10.01|  1013
 75.1082|-78.2259| 4.44|   6.62|  1038
 95.0633|-70.4387| 5.77|   9.40|  1064
  1.5245|-81.1808| 5.66|   7.64|  1187
118.8336| -1.0638| 5.74|   5.08|  1239
115.6192|-23.7019| 4.61|  12.88|  1280
117.0123|-14.5299| 5.86|   3.42|  1279
115.5857|-25.6137| 4.51|  23.11|  1404
114.7909|-30.8355| 5.88|   6.00|  1439
 98.9797|-70.1926| 3.56|  11.26|  1522
308.3277|-51.9204| 4.23| 116.38|  1581
115.1302|-31.4656| 5.89|   5.60|  1606
109.9069|-53.8997| 5.38|   8.26|  1635
306.8722|-47.2671| 5.50|  10.65|  1685
115.5341|-29.5194| 5.79|   5.05|  1632
116.3695|-24.5164| 5.16|  20.42|  1671
305.0417|-39.5784| 5.96|   4.68|  1801
 15.5115|-83.1456| 5.18|  10.50|  1737
 77.5144|-80.1978| 5.61|   4.21|  1760
118.6839|-10.6275| 5.58|   2.38|  1976
119.7923| -0.8781| 5.38|   4.27|  2011
118.9237| -9.6199| 5.72|   6.17|  2054
109.7295|-60.2630| 5.77|   5.50|  2114
304.7788|-39.7806| 2.82| 133.78|  2151
318.4163|-72.6816| 3.93|  42.51|  2262
320.0028|-73.9791| 2.40|  42.14|  2261
 47.8360|-84.3544| 5.99|   4.86|  2363
342.3610|-82.2295| 4.86|   5.95|  2429
115.1026|-44.6228| 5.01|   6.65|  2411
118.5684|-18.2805| 5.18|  12.32|  2421
321.9373|-76.3528| 5.42|   7.86|  2490
109.5673|-66.2722| 5.72|   3.82|  2637
117.4217|-32.8919| 5.20|  17.62|  2628
120.2916| -2.7859| 5.94|   4.54|  2626
 66.8725|-84.1910| 5.17|  18.08|  2696
312.5194|-68.5207| 5.67|  22.19|  2726
311.7496|-67.9804| 4.76|  18.97|  2834
118.1623|-29.1047| 5.88|   6.98|  2767
306.7791|-54.0213| 4.36|  23.35|  2884
306.7749|-54.0142| 4.53|  18.95|  2885
119.9064| -9.9161| 5.59|   8.29|  2774
120.0510| -8.2394| 4.74|   9.20|  2772
114.5462|-55.6059| 5.69|  12.36|  2913
116.9470|-42.3582| 5.38|  12.69|  2910
306.5358|-53.9658| 5.07|  21.52|  3003
120.8361|  0.1351| 4.17|   0.79|  2905
120.2827| -7.8827| 5.93|   8.68|  2952
  0.0085|-85.4002| 5.55|   6.56|  3059
308.9689|-64.5556| 5.57|  39.03|  3158
112.8968|-66.1485| 5.20|  47.51|  3196
114.1217|-63.1050| 5.94|  17.97|  3229
310.2667|-68.9026| 5.51|  27.61|  3302
120.6682| -8.6360| 5.08|   6.45|  3240
121.0769| -2.4916| 5.78|   0.97|  3283
120.1782|-18.3048| 5.14|   4.97|  3346
117.6986|-47.4911| 5.89|   3.81|  3379
119.4693|-29.0545| 4.34|   4.97|  3369
120.7757| -8.9142| 3.69|   5.46|  3360
 68.8153|-86.0466| 5.57|  64.38|  3443
119.6999|-27.3838| 5.45|   3.19|  3421
119.5658|-33.4752| 4.34|  19.34|  3546
120.8773|-13.4682| 5.45|   2.45|  3574
119.8691|-31.9385| 3.27|  32.19|  3627
119.1742|-41.5323| 5.88|  90.03|  3651
