#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-14T10:21:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ548d64995441	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:IV/27A&tab:{IV/27A/catalog}&key:source=IV/27A/catalog&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/27A/catalog
#-order=I
#-out=HD
#-out=Cst
#Simbad=Simbad
#

#RESOURCE=yCat_4027
#Name: IV/27A
#Title: HD-DM-GC-HR-HIP-Bayer-Flamsteed Cross Index (Kostjuk, 2002)
#Table	IV_27A_catalog:
#Name: IV/27A/catalog
#Title: HD-DM-GC-HR-HIP-Bayer-Flamsteed Cross Index, completed with names from table1 (different Bayer-Flamsteed names assigned to a star) and from addendum (Wagman 1987JHA....18..209W)
#Column	HD	(I6)	[1/257937] Henry Draper Catalog Number <III/135> [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Cst	(A3)	Constellation abbreviation (G1)	[ucd=meta.id.part]
HD|Cst
 |
------|---
    28|Psc
    87|Peg
   144|Cas
   315|Cet
   352|Cet
   358|And
   358|Peg
   432|Cas
   448|Peg
   493|Scl
   496|Phe
   560|Psc
   571|And
   636|Oct
   693|Cet
   693|Cet
   720|Scl
   739|Scl
   886|Peg
   905|And
  1013|Peg
  1038|Cet
  1061|Psc
  1227|Psc
  1280|And
  1317|Psc
  1337|Cas
  1404|And
  1438|And
  1522|Cet
  1563|Psc
  1581|Tuc
  1635|Psc
  1671|And
  1685|Tuc
  1737|Scl
  1760|Cet
  1796|Psc
  1835|Cet
  1967|And
  2011|Cas
  2051|Tuc
  2114|Psc
  2140|Psc
  2151|Hyi
  2261|Phe
  2262|Phe
  2273|Cet
  2410|Psc
  2411|Psc
  2429|Scl
  2436|Psc
  2628|And
  2637|Cet
  2729|Cas
  2772|Cas
  2834|Phe
  2884|Tuc
  2884|Tuc
  2885|Tuc
  2885|Tuc
  2905|Cas
  2910|Psc
  2913|Psc
  3003|Tuc
  3038|Cas
  3112|Tuc
  3196|Cet
  3229|Cet
  3302|Phe
  3360|Cas
  3369|And
  3379|Psc
  3512|Cet
  3546|And
  3627|And
  3651|Psc
  3690|Psc
  3712|Cas
  3817|And
  3901|Cas
  3919|Phe
  3919|Phe
  3980|Phe
  4058|Cas
  4065|Scl
  4089|Tuc
  4128|Cet
  4142|Cas
  4150|Phe
  4161|Cas
  4180|Cas
  4188|Cet
  4211|Scl
  4307|Cet
  4382|Cas
  4408|Psc
  4482|Psc
  4490|Psc
  4502|And
  4526|Psc
  4568|Psc
  4614|Cas
  4627|Psc
  4636|Cas
  4656|Psc
  4676|Psc
  4727|And
  4757|Psc
  4758|Psc
  4813|Cet
  4815|Hyi
  4919|Phe
  5112|Cet
