#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-12-08T15:46:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5485c79c2c80	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&&-ref=VIZ5485c79c2c80&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
HD|name
 |
------|--------------------
224889|
224935|
225132|
225253|
    28|
   203|
   358|ALPHERATZ
   432|CAPH
   496|
   571|
   720|
   739|
  1348|
   886|ALGENIB
  1013|
  1404|
  1439|
  1522|
  1588|
  1581|
  1635|
  1671|
  2114|
  2151|
  2261|ANKAA
  2438|
  2436|
  2637|
  2696|
  2834|
  2905|
  3059|
  3158|
  3369|
  3360|
  3546|
  3627|
  3712|SCHEDAR
  3919|
  4053|
  4150|
  4128|DIPHDA; DENEB KAITOS
  4211|
  4180|
  4293|
  4161|
  4502|
  4622|
  4628|96 G  PSC
  4815|
  4656|
  4676|
  4727|
  4813|
  4775|
  5112|
  5457|
  5394|
  5448|
  5575|
  5737|
  5720|
  6037|
  6192|
  6178|
  6186|
  6288|
  6397|
  6559|
  6793|
  6767|
  6582|
  6805|
  5848|
  6860|MIRACH
  7087|
  7106|
  6798|
  7312|
  7344|
  7804|
  7964|
  8207|
  8498|
  8512|
  8599|
  8810|
  8538|RUCHBAH
  8491|
  8763|
  8829|
  8799|
  9053|
  9132|
  9021|
  9362|
  9270|
 10042|
  9826|
  9919|
 11025|
 10144|ACHERNAR
  9927|
  9774|
 10380|
 10538|
 10390|
 10537|
 10221|
 10550|
 10516|
 10700|
 10761|
 10830|
 10982|
 11171|
 11353|BATEN KAITOS
 11291|
 11443|
 11559|
 11695|
 11753|
 11415|
 11636|SHERATAN
 11977|
 11937|
 12311|
 12274|
 12303|
 12216|
 12533|ALMACH
 12767|
 12929|HAMAL
 13161|
 13325|
 13709|
 13611|
 13596|
 13530|
 13474|
 13940|
 13872|
 14228|
 12918|
 14129|
 14055|
 14247|
 14214|
 14191|
 14212|
 16701|
 15008|
 14728|
 14802|
 15248|
 15233|
 15130|
 15371|
 15318|
 15257|
 15596|
 16522|
  8890|POLARIS
 15798|
 15656|
 15975|
 16161|
 16212|
